Plot	SubPlot	CensusYear	X	Y	BA	ID	Deltat	DeltaBA	BAlag	DeltaBADeltat
1	1	1985	(0,10]	(0,10]	2025.7241156736459	P1_C1_X(0,10]_Y(0,10]	1	31.830988618379024	1993.8931270552669	31.830988618379024
1	1	1985	(10,20]	(10,20]	1973.072477399985	P1_C1_X(10,20]_Y(10,20]	1	11.14084601643276	1961.9316313835523	11.14084601643276
1	1	1985	(20,30]	(20,30]	1530.433932771667	P1_C1_X(20,30]_Y(20,30]	1	26.419720553254592	1504.0142122184125	26.419720553254592
1	1	1985	(30,40]	(30,40]	1807.2043788084734	P1_C1_X(30,40]_Y(30,40]	1	28.807044699633025	1778.3973341088404	28.807044699633025
1	1	1985	(40,50]	(40,50]	1725.8762028885149	P1_C1_X(40,50]_Y(40,50]	1	10.504226244065194	1715.3719766444497	10.504226244065194
1	1	1985	(50,60]	(50,60]	1520.3275938853317	P1_C1_X(50,60]_Y(50,60]	1	10.742958658702946	1509.5846352266287	10.742958658702946
1	1	1985	(60,70]	(60,70]	1489.53111239705	P1_C1_X(60,70]_Y(60,70]	1	12.57324050425973	1476.9578718927903	12.57324050425973
1	1	1985	(70,80]	(70,80]	1552.7156248045326	P1_C1_X(70,80]_Y(70,80]	1	34.536622650941354	1518.1790021535912	34.536622650941354
1	1	1985	(80,90]	(80,90]	1501.9451979582177	P1_C1_X(80,90]_Y(80,90]	1	35.49155230949259	1466.4536456487251	35.49155230949259
1	1	1985	(90,100]	(90,100]	1599.838220355181	P1_C1_X(90,100]_Y(90,100]	1	30.557749073644118	1569.2804712815368	30.557749073644118
1	1	1985	(100,110]	(100,110]	1671.1269024649027	P1_C1_X(100,110]_Y(100,110]	1	11.300000959524596	1659.8269015053781	11.300000959524596
1	1	1985	(110,120]	(110,120]	1512.3443819398424	P1_C1_X(110,120]_Y(110,120]	1	10.504226244065194	1501.8401556957772	10.504226244065194
1	1	1985	(120,130]	(120,130]	641.5535756034308	P1_C1_X(120,130]_Y(120,130]	1	5.729577951308215	635.8239976521226	5.729577951308215
1	2	1985	(120,130]	(120,130]	1004.7451557391363	P1_C2_X(120,130]_Y(120,130]	1	6.366197723675782	998.3789580154605	6.366197723675782
1	2	1985	(130,140]	(130,140]	1656.8029575866321	P1_C2_X(130,140]_Y(130,140]	1	16.392959138465358	1640.4099984481668	16.392959138465358
1	2	1985	(140,150]	(140,150]	1447.409165158349	P1_C2_X(140,150]_Y(140,150]	1	7.1619724391352975	1440.2471927192137	7.1619724391352975
1	2	1985	(150,160]	(150,160]	1601.2578824475606	P1_C2_X(150,160]_Y(150,160]	1	9.230986699329833	1592.0268957482308	9.230986699329833
1	2	1985	(160,170]	(160,170]	1757.8663464499857	P1_C2_X(160,170]_Y(160,170]	1	19.576058000303192	1738.2902884496825	19.576058000303192
1	2	1985	(170,180]	(170,180]	1600.9395725613767	P1_C2_X(170,180]_Y(170,180]	1	8.912676813146163	1592.0268957482306	8.912676813146163
1	2	1985	(180,190]	(180,190]	1337.378986801198	P1_C2_X(180,190]_Y(180,190]	1	31.035213902919622	1306.3437728982783	31.035213902919622
1	2	1985	(190,200]	(190,200]	1769.4846572956942	P1_C2_X(190,200]_Y(190,200]	1	27.374650211806056	1742.1100070838881	27.374650211806056
1	2	1985	(200,210]	(200,210]	1433.9860372579785	P1_C2_X(200,210]_Y(200,210]	1	14.960564650638162	1419.0254726073404	14.960564650638162
1	2	1985	(210,220]	(210,220]	1876.334919889869	P1_C2_X(210,220]_Y(210,220]	1	27.05634032562216	1849.278579564247	27.05634032562216
1	2	1985	(220,230]	(220,230]	1935.0057981112654	P1_C2_X(220,230]_Y(220,230]	1	21.963382146681624	1913.0424159645838	21.963382146681624
1	2	1985	(230,240]	(230,240]	1881.3705822892966	P1_C2_X(230,240]_Y(230,240]	1	9.230986699329833	1872.1395955899668	9.230986699329833
1	2	1985	(240,250]	(240,250]	1172.1761558718104	P1_C2_X(240,250]_Y(240,250]	1	5.252113122032597	1166.9240427497778	5.252113122032597
1	3	1985	(0,10]	(0,10]	1543.9621029344783	P1_C3_X(0,10]_Y(0,10]	1	42.33521486244422	1501.626888072034	42.33521486244422
1	3	1985	(10,20]	(10,20]	1193.0254534168487	P1_C3_X(10,20]_Y(10,20]	1	17.50704374010843	1175.5184096767402	17.50704374010843
1	3	1985	(20,30]	(20,30]	1595.6874594393444	P1_C3_X(20,30]_Y(20,30]	1	10.981691073340926	1584.7057683660034	10.981691073340926
1	3	1985	(30,40]	(30,40]	1391.1733575662586	P1_C3_X(30,40]_Y(30,40]	1	17.18873385392476	1373.9846237123338	17.18873385392476
1	3	1985	(40,50]	(40,50]	1409.6353309649185	P1_C3_X(40,50]_Y(40,50]	1	13.687325105903028	1395.9480058590154	13.687325105903028
1	3	1985	(50,60]	(50,60]	1083.8451624558083	P1_C3_X(50,60]_Y(50,60]	1	24.987326065427624	1058.8578363903807	24.987326065427624
1	3	1985	(60,70]	(60,70]	1508.3113956818936	P1_C3_X(60,70]_Y(60,70]	1	16.39295913846513	1491.9184365434285	16.39295913846513
1	3	1985	(70,80]	(70,80]	1733.0381753276502	P1_C3_X(70,80]_Y(70,80]	1	23.077466748324923	1709.9607085793252	23.077466748324923
1	3	1985	(80,90]	(80,90]	1644.3888720254643	P1_C3_X(80,90]_Y(80,90]	1	28.170424927265458	1616.2184470981988	28.170424927265458
1	3	1985	(90,100]	(90,100]	1956.0142505993956	P1_C3_X(90,100]_Y(90,100]	1	19.41690305721113	1936.5973475421845	19.41690305721113
1	3	1985	(100,110]	(100,110]	1641.2057731636264	P1_C3_X(100,110]_Y(100,110]	1	30.55774907364389	1610.6480240899825	30.55774907364389
1	3	1985	(110,120]	(110,120]	1829.0086060120632	P1_C3_X(110,120]_Y(110,120]	1	20.530987658854656	1808.4776183532085	20.530987658854656
1	3	1985	(120,130]	(120,130]	660.0155490020907	P1_C3_X(120,130]_Y(120,130]	1	3.3422538049297827	656.6732951971609	3.3422538049297827
1	4	1985	(120,130]	(120,130]	914.1859931198477	P1_C4_X(120,130]_Y(120,130]	1	6.047887837491999	908.1381052823557	6.047887837491999
1	4	1985	(130,140]	(130,140]	1748.7945146937477	P1_C4_X(130,140]_Y(130,140]	1	9.54929658551373	1739.245218108234	9.54929658551373
1	4	1985	(140,150]	(140,150]	2440.4818973711253	P1_C4_X(140,150]_Y(140,150]	1	19.576058000302965	2420.9058393708224	19.576058000302965
1	4	1985	(150,160]	(150,160]	1506.8790011940666	P1_C4_X(150,160]_Y(150,160]	1	15.438029479913894	1491.4409717141527	15.438029479913894
1	4	1985	(160,170]	(160,170]	1932.3001640787033	P1_C4_X(160,170]_Y(160,170]	1	19.735212943395254	1912.564951135308	19.735212943395254
1	4	1985	(170,180]	(170,180]	1694.8409889855952	P1_C4_X(170,180]_Y(170,180]	1	5.888732894400164	1688.952256091195	5.888732894400164
1	4	1985	(180,190]	(180,190]	1434.6767697109972	P1_C4_X(180,190]_Y(180,190]	1	14.323944878270595	1420.3528248327266	14.323944878270595
1	4	1985	(190,200]	(190,200]	1837.4438179959336	P1_C4_X(190,200]_Y(190,200]	1	5.092958178940762	1832.3508598169929	5.092958178940762
1	4	1985	(200,210]	(200,210]	1622.2663349356908	P1_C4_X(200,210]_Y(200,210]	1	18.302818455568058	1603.9635164801227	18.302818455568058
1	4	1985	(210,220]	(210,220]	1757.7536647502773	P1_C4_X(210,220]_Y(210,220]	1	18.393855083017115	1739.3598096672602	18.393855083017115
1	4	1985	(220,230]	(220,230]	1923.3874872655572	P1_C4_X(220,230]_Y(220,230]	1	21.485917317405892	1901.9015699481513	21.485917317405892
1	4	1985	(230,240]	(230,240]	1548.7367512272351	P1_C4_X(230,240]_Y(230,240]	1	17.347888797016594	1531.3888624302185	17.347888797016594
1	4	1985	(240,250]	(240,250]	2005.0339730716994	P1_C4_X(240,250]_Y(240,250]	1	8.435211983870431	1996.598761087829	8.435211983870431
6	1	1985	(0,10]	(0,10]	1669.3761980908919	P6_C1_X(0,10]_Y(0,10]	1	30.876058959827787	1638.500139131064	30.876058959827787
6	1	1985	(10,20]	(10,20]	1685.5017769249628	P6_C1_X(10,20]_Y(10,20]	1	27.852115041081788	1657.649661883881	27.852115041081788
6	1	1985	(20,30]	(20,30]	1830.600155442982	P6_C1_X(20,30]_Y(20,30]	1	29.602819415092426	1800.9973360278896	29.602819415092426
6	1	1985	(30,40]	(30,40]	1552.5787515534735	P6_C1_X(30,40]_Y(30,40]	1	18.700705813297645	1533.8780457401758	18.700705813297645
6	1	1985	(40,50]	(40,50]	2013.0044526217416	P6_C1_X(40,50]_Y(40,50]	1	21.167607431221995	1991.8368451905196	21.167607431221995
6	1	1985	(50,60]	(50,60]	1791.7663493285595	P6_C1_X(50,60]_Y(50,60]	1	20.849297545038326	1770.9170517835212	20.849297545038326
6	1	1985	(60,70]	(60,70]	2242.015683335532	P6_C1_X(60,70]_Y(60,70]	1	86.42113409889907	2155.5945492366327	86.42113409889907
6	1	1985	(70,80]	(70,80]	1941.9035733448682	P6_C1_X(70,80]_Y(70,80]	1	27.74707277864104	1914.1565005662271	27.74707277864104
6	1	1985	(80,90]	(80,90]	1772.667756157532	P6_C1_X(80,90]_Y(80,90]	1	35.17324242330892	1737.4945137342231	35.17324242330892
6	1	1985	(90,100]	(90,100]	1792.402969100927	P6_C1_X(90,100]_Y(90,100]	1	30.08028424436816	1762.322684856559	30.08028424436816
6	1	1985	(100,110]	(100,110]	1650.1184499767726	P6_C1_X(100,110]_Y(100,110]	1	23.873241463784325	1626.2452085129883	23.873241463784325
6	1	1985	(110,120]	(110,120]	1423.959275843189	P6_C1_X(110,120]_Y(110,120]	1	27.21549526871422	1396.7437805744748	27.21549526871422
6	1	1985	(120,130]	(120,130]	679.7507619454857	P6_C1_X(120,130]_Y(120,130]	1	4.61549334966503	675.1352685958207	4.61549334966503
6	2	1985	(120,130]	(120,130]	1015.8860017555689	P6_C2_X(120,130]_Y(120,130]	1	14.960564650638162	1000.9254371049308	14.960564650638162
6	2	1985	(130,140]	(130,140]	1107.7184039195927	P6_C2_X(130,140]_Y(130,140]	1	38.83380611442249	1068.8845978051702	38.83380611442249
6	2	1985	(140,150]	(140,150]	1432.3149103555136	P6_C2_X(140,150]_Y(140,150]	1	40.18662313070354	1392.12828722481	40.18662313070354
6	2	1985	(150,160]	(150,160]	1530.1156228854834	P6_C2_X(150,160]_Y(150,160]	1	39.78873577297395	1490.3268871125094	39.78873577297395
6	2	1985	(160,170]	(160,170]	1773.4635308729914	P6_C2_X(160,170]_Y(160,170]	1	19.09859317102746	1754.364937701964	19.09859317102746
6	2	1985	(170,180]	(170,180]	1864.8184682077397	P6_C2_X(170,180]_Y(170,180]	1	15.438029479913894	1849.3804387278258	15.438029479913894
6	2	1985	(180,190]	(180,190]	1458.9860957188534	P6_C2_X(180,190]_Y(180,190]	1	16.07464925228146	1442.911446466572	16.07464925228146
6	2	1985	(190,200]	(190,200]	1763.1184595720183	P6_C2_X(190,200]_Y(190,200]	1	6.525352666767731	1756.5931069052506	6.525352666767731
6	2	1985	(200,210]	(200,210]	1683.3818330829788	P6_C2_X(200,210]_Y(200,210]	1	8.435211983870659	1674.9466210991081	8.435211983870659
