Plot	SubPlot	TreeFieldNum	Genus	Species	SpeciesLong	Bark	Dawkins	DBH	SLA	LDMC	LT	LA	CC
1	1	117	Symphonia	sp.1	S sp.1	S	2A	16.552114081557132	114.323	0.3292	293.6	12.2506	72.6632
1	1	231	Symphonia	globulifera	S globulifera	G	3A	26.260565610162757	93.015	0.3176	393	41.3342	75.148
1	1	252	Symphonia	globulifera	S globulifera	G	4A	42.971834634811785	76.5244	0.3454	425.4	26.066	87.5818
1	1	255	Symphonia	globulifera	S globulifera	G	5A	73.52958370845572	100.2144	0.3116	360	48.6794	71.5268
1	1	267	Symphonia	sp.1	S sp.1	S	2B	26.578875496346548	113.517	0.328	288	13.99025	79.72025
1	1	290	Symphonia	sp.1	S sp.1	SG	5B	35.4915523094927	70.05	0.4042	417.2	10.7	83.90859999999999
1	1	479	Symphonia	globulifera	S globulifera	G	4B	27.852115041081714	106.7574	0.3232	328	35.767	79.0252
1	1	519	Eschweilera	sagotiana	E sagotiana	NA	3C	27.374650211806024	61.8236	0.4752	365.2	85.95	98.1292
1	1	596	Eschweilera	coriacea	E coriacea	NA	2B	12.254930618075953	89.1798	0.4016	292.4	83.108	116.6378
1	1	613	Eschweilera	coriacea	E coriacea	NA	3A	24.828171122335696	111.743	0.4702	199.8	105.612	63.1582
1	1	616	Symphonia	globulifera	S globulifera	G	5A	55.26655398866071	83.5466	0.3668	378.6	38.5182	81.0758
1	1	619	Symphonia	globulifera	S globulifera	G	5A	43.926764293363156	80.2688	0.3684	393	29.94	88.1476
1	1	623	Symphonia	globulifera	S globulifera	G	4A	49.81549718776329	92.9494	0.3194	386.4	33.225	65.7176
1	1	625	Symphonia	globulifera	S globulifera	G	3A	22.60000191904916	122.5976	0.2572	303.2	43.6446	43.7776
1	1	628	Symphonia	globulifera	S globulifera	G	4A	42.335214862444204	74.2698	0.33740000000000003	450	24.46	81.154
1	1	631	Symphonia	globulifera	S globulifera	G	2A	17.188733853924713	128.03719999999998	0.2978	306.6	46.9566	52.726
1	1	653	Symphonia	globulifera	S globulifera	G	1B	18.621128341751774	107.4642	0.3326	316.8	47.1244	71.42
1	1	658	Symphonia	globulifera	S globulifera	G	5B	60.31972343182839	82.07339999999999	0.323	426.4	29.04	79.1864
1	1	724	Eschweilera	coriacea	E coriacea	NA	2A	33.900002878573744	67.5266	0.5048	299.6	86.594	74.34779999999999
1	1	880	Symphonia	sp.1	S sp.1	G	5B	37.40141162659544	75.5466	0.352	434.2	17.24	72.66720000000001
1	1	887	Symphonia	globulifera	S globulifera	G	5B	45.67746866737401	76.2576	0.3484	427.6	29.58	82.8828
1	1	889	Eschweilera	wachenheimii	E wachenheimii	NA	4A	19.257748114119355	115.135	0.4854	194.8	23.008	60.4302
1	1	890	Eschweilera	wachenheimii	E wachenheimii	NA	2A	10.981691073340789	114.5516	0.4652	198.2	35.396	60.3312
1	1	895	Eschweilera	coriacea	E coriacea	NA	2B	18.501762134432852	87.1658	0.4884	213	62.018	54.844
1	1	982	Eschweilera	wachenheimii	E wachenheimii	NA	3A	25.46479089470328	94.1152	0.5008	213	29.152	66.43299999999999
1	1	1009	Eschweilera	coriacea	E coriacea	NA	3A	23.873241463784325	88.05539999999999	0.47459999999999997	225.2	70.22	84.6914
1	1	2101	Symphonia	globulifera	S globulifera	G	2B	23.554931577600534	110.53620000000001	0.30119999999999997	343.4	50.2	61.3898
1	1	2201	Symphonia	globulifera	S globulifera	G	1A	17.6661986832004	138.5432	0.271	290.4	42.672200000000004	64.3536
1	1	2880	Symphonia	globulifera	S globulifera	G	1A	10.504226244065103	76.7602	0.33640000000000003	449.8	31.72	72.7668
1	1	2945	Eschweilera	coriacea	E coriacea	NA	2A	11.618310845708372	90.2542	0.45280000000000004	230.4	147.506	90.5672
1	2	66	Eschweilera	sagotiana	E sagotiana	NA	1B	13.209860276627326	129.8674	0.3768	218.4	101.362	82.699
